iter	Passed	Remaining
853	18300	3128
854	18326	3108
855	18349	3086
856	18374	3066
857	18400	3045
858	18425	3024
859	18449	3003
860	18469	2981
861	18492	2960
862	18518	2939
863	18541	2918
864	18564	2897
865	18587	2876
866	18612	2855
867	18636	2834
868	18660	2813
869	18681	2791
870	18700	2769
871	18723	2748
872	18747	2727
873	18770	2706
874	18794	2684
875	18813	2663
876	18834	2641
877	18857	2620
878	18878	2598
879	18906	2578
880	18928	2556
881	18950	2535
882	18974	2514
883	18997	2492
884	19024	2472
885	19050	2451
886	19071	2429
887	19093	2408
888	19125	2388
889	19152	2367
890	19176	2345
891	19198	2324
892	19221	2303
893	19244	2281
894	19268	2260
895	19294	2239
896	19323	2218
897	19347	2197
898	19381	2177
899	19402	2155
900	19423	2134
901	19446	2112
902	19468	2091
903	19492	2069
904	19515	2048
905	19539	2027
906	19560	2005
907	19580	1983
908	19602	1962
909	19623	1940
910	19644	1919
911	19666	1897
912	19687	1875
913	19709	1854
914	19731	1832
915	19753	1811
916	19780	1790
917	19806	1769
918	19839	1748
919	19869	1727
920	19896	1706
921	19919	1685
922	19945	1663
923	19970	1642
924	19994	1621
925	20015	1599
926	20039	1578
927	20063	1556
928	20089	1535
929	20115	1514
930	20141	1492
931	20171	1471
932	20201	1450
933	20227	1429
934	20254	1408
935	20281	1386
936	20311	1365
937	20335	1344
938	20361	1322
939	20387	1301
940	20417	1280
941	20443	1258
942	20467	1237
943	20492	1215
944	20515	1194
945	20541	1172
946	20567	1151
947	20589	1129
948	20613	1107
949	20635	1086
950	20658	1064
951	20681	1042
952	20706	1021
953	20727	999
954	20751	977
955	20775	956
956	20796	934
957	20816	912
958	20843	891
959	20871	869
960	20897	848
961	20925	826
962	20950	804
963	20973	783
964	20996	761
965	21019	739
966	21045	718
967	21069	696
968	21089	674
969	21112	652
970	21140	631
971	21165	609
972	21194	588
973	21220	566
974	21246	544
975	21274	523
976	21302	501
977	21329	479
978	21364	458
979	21395	436
980	21423	414
981	21452	393
982	21478	371
983	21505	349
984	21530	327
985	21552	306
986	21577	284
987	21600	262
988	21622	240
989	21644	218
990	21666	196
991	21689	174
992	21715	153
993	21738	131
994	21762	109
995	21785	87
996	21807	65
997	21834	43
998	21857	21
999	21881	0
